"ID";"content_default";"content_loc8"
"5021";"Armor: %u";"Броня: %u"
"5022";"Granting ownership to first person that joins the channel ""%s"": Enabled.";"Предоставление права собственности первому лицу, присоединившемуся к каналу ""%s"": включено."
"5023";"Granting ownership to first person that joins the channel ""%s"": Disabled.";"Предоставление права собственности первому лицу, присоединившемуся к каналу ""%s"": отключено."
"5024";"Entry: %u";"Запись: %u"
"5025";"Type: %u";"Тип: %у"
"5026";"DisplayID: %u";"DisplayID: %u"
"5027";"Name: %s";"Имя: %s"
"5028";"Lootid: %u";"Добыча: %u"
"5029";"Result limit reached (max results: %d)";"Достигнут предел результатов (максимальное количество результатов: %d)"
"5030";"<unauthorized>";"<неавторизованный>"
"5031";"AIName: %s ScriptName: %s";"AIName: %s ScriptName: %s"
"5032";"No battleground found!";"Поле боя не найдено!"
"5033";"No achievement criteria found!";"Критерии достижения не найдены!"
"5034";"No outdoor PvP found!";"PvP на открытом воздухе не найдено!"
"5035";"No reason given.";"Причина не указана."
"5036";"EquipmentId: %u (Original: %u).";"Идентификатор оборудования: %u (исходное значение: %u)."
"5037";"MechanicImmuneMask: %u";"MechanicImmuneMask: %u"
"5038";"Unit Flags: %u";"Флаги отряда: %u"
"5039";"Console";"Приставка"
"5040";"Character";"Персонаж"
"5041";"Permanently";"Постоянно"
"5042";"You are outdoors.";"Вы находитесь на открытом воздухе."
"5043";"You are indoors.";"Вы находитесь в помещении."
"5044";"no VMAP available for area info";"нет VMAP для информации о районе"
"5045";"Map: %d | ID: %d | perm: %s | extended: %s | diff: %d | canReset: %s | TTR: %s";"Карта: %d | Идентификатор: %d | перм: %s | расширенный: %s | разница: %d | можно сбросить: %s | ТТР: %s"
"5046";"Player binds: %d";"Привязка игроков: %d"
"5047";"Group binds: %d";"Групповые привязки: %d"
"5048";"Unbinding map: %d inst: %d perm: %s diff: %d canReset: %s TTR: %s";"Отвязка карты: %d inst: %d perm: %s diff: %d canReset: %s TTR: %s"
"5049";"Instances unbound: %d";"Экземпляры несвязаны: %d"
"5050";"Instances loaded: %d";"Загружено экземпляров: %d"
"5051";"Players in instances: %d";"Игроки в инстансах: %d"
"5052";"Instance saves: %d";"Экземпляр сохранен: %d"
"5053";"Players bound: %d";"Связано игроков: %d"
"5054";"Groups bound: %d";"Связано с группами: %d"
"5055";"Map is not a dungeon.";"Карта не подземелье."
"5056";"Map has no instance data.";"Карта не имеет данных экземпляра."
"5057";"Boss id %i state is now set to %i (%s).";"Состояние идентификатора босса %i теперь установлено на %i (%s)."
"5058";"Boss id %i state is %i (%s).";"Идентификатор босса %i в состоянии %i (%s)."
"5059";"Mutes for account: %s";"Отключение звука для учетной записи: %s"
"5060";"No mutes for account: %s";"Нет отключения звука для учетной записи: %s"
"5061";"Mute Date: %20s Mutetime: %10u mins. Reason: %s Set by: %s";"Дата отключения звука: %20sВремя отключения звука: %10u мин. Причина: %s Установлено: %s"
"5070";"Spawn group: %s (ID: %u, Flags: %u, Active: %u)";"Группа создания: %s (ID: %u, флаги: %u, активны: %u)"
"5071";"Compatibility Mode: %u";"Режим совместимости: %u"
"5072";"GUID: %s";"GUID: %s"
"5073";"SpawnID: %u, location (%f, %f, %f)";"SpawnID: %u, местоположение (%f, %f, %f)"
"5074";"yaw: %f pitch: %f roll: %f";"рыскание: %f шаг: %f крен: %f"
"5075";"Spawn group %u not found";"Группа спавна %u не найдена"
"5076";"Spawned a total of %zu objects:";"Создано всего %zu объектов:"
"5077";"Listing %s respawns within %uyd";"Список возрождений %s в пределах %uyd"
"5078";"Listing %s respawns for %s (zone %u)";"Список возрождений %s для %s (зона %u)"
"5079";"SpawnID | Entry | GridXY| Zone | Respawn time (Full)";"Идентификатор появления | Вход | СеткаXY| Зона | Время возрождения (полное)"
"5080";"overdue";"просроченный"
"5083";"Active AI: %s";"Активный ИИ: %s"
"6604";"You cannot say, yell or emote until you become level %d.";"Вы не можете говорить, кричать или проявлять эмоции, пока не достигнете уровня %d."
"6605";"You cannot whisper until you become level %d.";"Вы не можете шептать, пока не достигнете уровня %d."
"6606";"You cannot write to channels until you become level %d.";"Вы не можете писать в каналы, пока не достигнете уровня %d."
"6607";"You cannot use auction until you become level %d.";"Вы не можете использовать аукцион, пока не достигнете уровня %d."
"6608";"You cannot write tickets until you become level %d.";"Вы не можете писать тикеты, пока не достигнете уровня %d."
"6609";"You cannot trade until you become level %d.";"Вы не можете торговать, пока не достигнете уровня %d."
"6610";"You cannot trade with characters lower than level %d.";"Вы не можете торговать с персонажами ниже уровня %d."
"6611";"You cannot send mail until you become level %d.";"Вы не можете отправлять почту, пока не достигнете уровня %d."
"6612";"You cannot send mail to characters lower than level %d.";"Вы не можете отправлять почту персонажам ниже уровня %d."
"6613";"|cfff00000[GM Announcement]: %s|r";"|cfff00000[Объявление GM]: %s|r"
"6614";"Notification to GM's - ";"Уведомление GM -"
"6615";"|cffffff00[|c1f40af20GM Announce by|r |cffff0000%s|cffffff00]:|r %s|r";"|cffffff00[|c1f40af20GM Объявить |r |cffff0000%s|cffffff00]:|r %s|r"
"6616";"Silence is ON for %s";"Тишина включена для %s"
"7523";"WORLD: Denying connections.";"WORLD: Отказ от подключений."
"7524";"WORLD: Accepting connections.";"WORLD: Прием подключений."
"9980";"Player name: %s, State: %s, Dungeons: %u (%s), Roles: %s, Comment: %s";"Имя игрока: %s, Состояние: %s, Подземелья: %u (%s), Роли: %s, Комментарий: %s"
"9981";"LfgGroup?: %u, State: %s, Dungeon: %u";"LfgGroup?: %u, Состояние: %s, Подземелье: %u"
"9982";"Not in group";"Не в группе"
"9983";"Queues cleared";"Очереди очищены"
"9984";"Lfg options: %u";"Опции ЛФГ: %u"
"9985";"Lfg options changed";"Параметры ЛФГ изменены"
"9986";"None";"Никто"
"9987";"Role check";"Проверка роли"
"9988";"Queued";"В очереди"
"9989";"Proposal";"Предложение"
"9990";"Vote kick";"Голосование"
"9991";"In dungeon";"В подземелье"
"9992";"Finished dungeon";"Готовое подземелье"
"9993";"Raid browser";"Рейд-браузер"
"9994";"Tank";"танк"
"9995";"Healer";"Целитель"
"9996";"Dps";"дпс"
"9997";"Leader";"Лидер"
"9998";"None";"Никто"
"9999";"Error";"Ошибка"
"10049";"The Horde has collected 200 silithyst!";"Орда собрала 200 силитистов!"
"10050";"The Alliance has collected 200 silithyst!";"Альянс собрал 200 силитистов!"
"10051";"Take me to Northpass Tower.";"Отведи меня к башне Нортпасс."
"10052";"Take me to Eastwall Tower.";"Отведи меня в Башню Восточной Стены."
"10053";"Take me to Crown Guard Tower.";"Отведи меня в Королевскую сторожевую башню."
"10054";"Give me the flag, I'll take it to the central beacon for the glory of the Alliance!";"Дайте мне флаг, я отнесу его на центральный маяк во славу Альянса!"
"10055";"Give me the flag, I'll take it to the central beacon for the glory of the Horde!";"Дайте мне флаг, я отнесу его на центральный маяк во славу Орды!"
"11000";"|cffffff00[|c00077766Autobroadcast|cffffff00]: |cFFF222FF%s|r";"|cffffff00[|c00077766Автотрансляция|cffffff00]: |cFFF222FF%s|r"
"11001";"You have not chosen -1 or the current realmID that you are on.";"Вы не выбрали -1 или текущий realmID, на котором находитесь."
"11002";"Server: %s has kicked %s, reason: %s";"Сервер: %s выкинул %s, причина: %s"
"11003";"Server: %s has muted %s for %u minutes, reason: %s";"Сервер: %s заглушил %s на %u минут, причина: %s"
"11004";"Server: %s has banned character %s for %s, reason: %s";"Сервер: %s забанил персонажа %s для %s, причина: %s"
"11005";"Server: %s has banned character %s permanetly, reason: %s";"Сервер: %s навсегда забанил персонажа %s, причина: %s"
"11006";"Server: %s has banned %s for %s, reason: %s";"Сервер: %s забанил %s для %s, причина: %s"
"11007";"Server: %s has banned %s permanetly, reason: %s";"Сервер: %s навсегда забанил %s, причина: %s"
"11008";"Movement type: %s";"Тип движения: %s"
"11009";"Flags Extra: %u";"Дополнительные флаги: %u"
"11010";"You didn't get kicked out of the instance even if Player::CheckInstanceLoginValid() returned false and without .gm on flag";"Вас не выгнали из инстанса, даже если Player::CheckInstanceLoginValid() вернул false и без .gm на флаге"
"11011";"VisualizeBoundary warning: No interior point of the creature's boundary could be found - check if you have mutually exclusive boundaries!";"Предупреждение VisualizeBoundary: не удалось найти внутреннюю точку границы существа — проверьте, есть ли у вас взаимоисключающие границы!"
"11012";"VisualizeBoundary error: Creature movement is unbounded";"Ошибка VisualizeBoundary: движение существа не ограничено"
"11013";"VisualizeBoundary warning: Reached fail-safe flood boundary - check if your boundary is unbounded!";"Предупреждение VisualizeBoundary: достигнута граница безопасного наводнения — проверьте, не ограничена ли ваша граница!"
"11014";"You are already locked to %s.";"Вы уже привязаны к %s."
"11015";"This creature does not have an active CreatureAI assigned to it.";"Этому существу не назначен активный CreatureAI."
"11016";"Select a player or player pet.";"Выберите игрока или питомца игрока."
"11017";"Server shutdown delayed to %d seconds as other users are still connected. Specify 'force' to override.";"Выключение сервера отложено на %d секунд, так как другие пользователи все еще подключены. Укажите «принудительно» для переопределения."
"11018";"Server shutdown scheduled for T+%d seconds was successfully cancelled.";"Выключение сервера, запланированное на T+%d секунд, было успешно отменено."
"11100";"Item transmogrified";"Предмет трансмогрифицирован"
"11101";"Equipment slot is empty";"Слот для снаряжения пуст"
"11102";"Invalid source item selected";"Выбран недопустимый исходный элемент"
"11103";"Source item does not exist";"Исходный элемент не существует"
"11104";"Destination item does not exist";"Пункт назначения не существует"
"11105";"Selected items are invalid";"Выбранные элементы недействительны"
"11106";"Not enough money";"Недостаточно средств"
"11107";"You don't have enough tokens";"У вас недостаточно токенов"
"11108";"Transmogrifications removed";"Трансмогрификации удалены"
"11109";"There are no transmogrifications";"Трансмогрификации нет"
"11110";"Invalid name inserted";"Вставлено неверное имя"
"20070";"Guide me to the Fortress Graveyard.";"Проведи меня на Кладбище Крепости."
"20071";"Guide me to the Sunken Ring Graveyard.";"Проведи меня на кладбище Затонувшего Кольца."
"20072";"Guide me to the Broken Temple Graveyard.";"Проведи меня на кладбище Разрушенного Храма."
"20073";"Guide me to the Westspark Graveyard.";"Проведи меня на кладбище Вестспарк."
"20074";"Guide me to the Eastspark Graveyard.";"Проведи меня на кладбище Истспарка."
"20075";"Guide me back to the Horde landing camp.";"Веди меня обратно в посадочный лагерь Орды."
"20076";"Guide me back to the Alliance landing camp.";"Направь меня обратно в посадочный лагерь Альянса."
"20077";"Queue for Wintergrasp.";"Очередь на Озеро Ледяных Оков."
